,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Volume_30,volatility_30,Composite Score,category,overlap,rank_metric,overlap_rounded
0,aggressive-growth,IVW,iShares S&P 500 Growth ETF,0.0355803295855742,Exchange Traded Fund,60.918216705322266,83.4800033569336,0.21728784949321742,0.5,neutral,up,1.2797358017090654,4.102756971395908,12.461268465153568,19.629176471411437,37.036190275806554,0.9481172754630194,83.97000122070312,72.87000274658203,0.9558560422407328,3749170.0,0.17447339931062847,4669620.0,0.1334920909189246,5.027855843960093,GROW,0.0,9.58134683853394,0.0
1,high-momentum,IMTM,iShares MSCI Intl Momentum Factor ETF,0.07236172759282924,Exchange Traded Fund,30.20235252380371,38.5,0.616710960892266,0.2,overbought,up,3.108005034886547,8.849310609658097,15.47690409057057,22.035980536237727,27.473513759090697,0.9307696965865759,38.7599983215332,33.34000015258789,0.9520298137695133,173405.0,0.31627913324794027,206816.66666666666,0.38300051123167106,5.909116322386468,INTLHM,0.5230578768183225,8.56260833175629,0.52
2,high-momentum,IDMO,Invesco S&P International Developed Momentum ETF,0.06968642329031764,Exchange Traded Fund,30.48027992248535,41.119998931884766,0.5846888816621234,0.2,overbought,up,3.1930326317175557,8.927149488436466,14.572303235382025,23.51597019811509,34.9068940195345,0.9315053724736868,41.34000015258789,35.88999938964844,0.9596328091916693,57693.333333333336,0.28335490837975696,62206.666666666664,0.3418890795604765,6.165547744623443,INTLHM,0.001,7.8845809120705015,0.0
3,aggressive-growth,QQQ,Invesco QQQ Trust,0.028031886831909034,Exchange Traded Fund,304.3409423828125,437.4800109863281,0.0,0.3,neutral,down,-0.027332495146083914,2.1075968075672478,8.591382846731667,17.677588733826184,43.746683427183406,0.9701046271761626,445.6099853515625,396.2799987792969,0.8351920417954215,45121396.666666664,0.11497107810523007,45516840.0,0.06671878788346447,4.175008590625527,NSPAG,0.5856127886323268,10.739727578430907,0.58
4,aggressive-growth,MTUM,iShares MSCI USA Momentum Factor ETF,0.052109979988725484,Exchange Traded Fund,133.4702606201172,183.86000061035156,0.14690826754021025,0.5,neutral,up,1.728970510907248,6.081232887566359,19.250233068166747,27.34504200359161,37.75353382552654,0.9285407338266395,189.1999969482422,152.32000732421875,0.8552061323137635,674640.0,0.22038858152035165,925410.0,0.15578989508780794,6.974243695989899,NSPAG,0.001,9.62386195714376,0.0
5,aggressive-growth,IYW,iShares U.S. Technology ETF,0.024715972081529983,Exchange Traded Fund,88.09101867675781,133.52999877929688,0.0,0.5,neutral,up,0.6291636375189992,2.408159678155286,10.400993921841945,20.970897179212105,51.58185338879253,0.9629434139235394,135.60000610351562,117.5,0.8856349930281688,815305.0,0.12063534520273873,869903.3333333334,0.07030231641298391,5.071607762817277,NSPAG,0.41649399088271855,8.941551609910219,0.41
6,aggressive-growth,VGT,Vanguard Information Technology Index Fund ETF Shares,0.026029232963014567,Exchange Traded Fund,364.4930725097656,517.97998046875,0.0,0.3,neutral,down,0.5196573257872223,2.489114903875968,8.54112969778824,19.26381375101745,42.10969138648639,0.9689766371251377,530.1599731445312,462.17999267578125,0.8208297120447052,504175.0,0.09517101443247493,470266.6666666667,0.07067433086840785,4.5646850443758105,NSPAG,0.3858279537606967,8.414900337400569,0.38
7,aggressive-growth,ONEQ,Fidelity Nasdaq Composite Index ETF,0.03054322966553942,Exchange Traded Fund,45.46035385131836,63.33000183105469,0.14847050625113703,0.5,neutral,up,0.5384862609749458,3.0735597027194426,8.923566881070395,18.0924366645533,39.308202567407214,0.96450197109753,63.997047424316406,57.09922409057617,0.903296219548142,265803.3333333333,0.12004688255155316,230510.0,0.10365593178909674,4.410944769680531,NSPAG,0.4418482999128161,8.0129122334983,0.44
8,consistent-growth,VTI,Vanguard Total Stock Market Index Fund ETF Shares,0.04169774017012261,Exchange Traded Fund,193.81051635742188,255.0,0.0,0.5,neutral,up,1.2026874372838143,4.499629348124808,9.203969371071894,18.48534375162183,31.571807759767573,0.9594711104249642,256.5299987792969,232.77000427246094,0.9356060970949853,3446098.3333333335,0.16765126016714563,3120716.6666666665,0.18219293386129407,4.619924064076566,NSPCG,0.9960281087687136,9.730032857727553,0.99
9,consistent-growth,ACWI,iShares MSCI ACWI ETF,0.05073332484395698,Exchange Traded Fund,85.711669921875,108.26000213623047,0.38786766168388914,0.4,close to overbought,up,1.4527618203550439,4.760988942028707,8.498700602001902,16.488208301105146,26.307190415153457,0.9602869432656875,108.94000244140625,99.77999877929688,0.925764188502607,4588153.333333333,0.16723983557505734,3242550.0,0.2113233206496838,4.201165550543537,NSPCG,0.9631901840490797,9.662906253057574,0.96
