,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
SMH,0,VanEck Semiconductor ETF,120.09,234.17,94.99,89.72,86.35,0.9,0.97,0.84,8943080.0,0.33,35.65,Uptrend,Bull,23.16138253638254,2316.138253638254
URNM,0,North Shore Global Uranium Mining ETF,30.2,51.15,69.35,80.65,78.41,0.97,1.03,0.92,858393.33,-0.05,32.2,Uptrend,Bear,20.919958419958423,2091.9958419958425
BDRY,0,Breakwave Dry Bulk Shipping ETF,9.92,16.43,65.63,79.37,72.95,0.87,0.99,0.76,183640.0,0.32,30.89,Uptrend,Bull,20.068866943866944,2006.8866943866944
SOXX,0,iShares Semiconductor ETF,133.79,237.75,77.7,74.7,70.65,0.91,0.97,0.86,4962293.33,0.26,29.49,Uptrend,Bull,19.159303534303536,1915.9303534303535
IGM,0,iShares Expanded Tech Sector ETF,50.49,87.26,72.83,59.76,66.55,0.96,0.99,0.92,264666.67,0.2,25.69,Uptrend,Bull,16.690488565488568,1669.0488565488567
ARKW,0,ARK Next Generation Internet ETF,48.56,81.66,68.16,64.17,60.4,0.95,1.0,0.89,242693.33,0.23,25.35,Uptrend,Bull,,
URA,0,Global X Uranium ETF,18.94,29.35,54.94,62.29,61.95,0.96,1.0,0.92,3574260.0,-0.02,25.23,Uptrend,Bull,,
XHB,0,SPDR S&P Homebuilders ETF,66.36,106.04,59.78,53.81,63.29,0.96,0.99,0.93,2120153.33,0.36,23.88,Uptrend,Bull,,
QTEC,0,First Trust NASDAQ-100-Technology Sector Index Fund,120.0,195.66,63.05,57.91,57.73,0.97,0.99,0.93,105726.67,0.13,23.54,Uptrend,Bull,,
ITB,0,iShares U.S. Home Construction ETF,67.2,110.69,64.72,50.37,64.09,0.96,0.99,0.93,1686413.33,0.32,23.34,Uptrend,Bull,,
FTXL,0,First Trust Nasdaq Semiconductor ETF,60.5,95.0,57.03,57.41,52.97,0.92,0.97,0.88,44466.67,0.21,22.49,Uptrend,Bull,,
IYW,0,iShares U.S. Technology ETF,83.86,135.42,61.48,49.09,53.73,0.98,1.0,0.95,607506.67,0.11,20.98,Uptrend,Bull,,
SKYY,0,First Trust Cloud Computing ETF,62.32,96.4,54.69,49.02,53.67,0.97,1.01,0.93,184373.33,0.12,20.95,Uptrend,Bear,,
PRN,0,Invesco Dorsey Wright Industrials Momentum ETF,94.98,135.31,42.45,44.96,48.64,0.97,1.0,0.93,8393.33,0.4,19.19,Uptrend,Bear,,
AIQ,0,Global X Artificial Intelligence & Technology ETF,22.28,34.02,52.71,43.67,48.23,0.97,1.0,0.94,854626.67,0.18,18.81,Uptrend,Bull,,
IGV,0,iShares Expanded Tech-Software Sector ETF,55.94,85.41,52.67,41.99,49.22,1.0,1.02,0.96,3591026.67,0.03,18.65,Uptrend,Bear,,
XLK,0,Technology Select Sector SPDR Fund,137.01,210.48,53.62,43.37,47.59,0.98,1.0,0.95,7092320.0,0.1,18.6,Uptrend,Bear,,
IXN,0,iShares Global Tech ETF,49.46,75.3,52.25,42.54,46.51,0.97,1.0,0.94,136686.67,0.14,18.23,Uptrend,Bull,,
FTEC,0,Fidelity MSCI Information Technology Index ETF,104.04,157.55,51.43,41.87,46.38,0.97,1.0,0.94,239660.0,0.12,18.06,Uptrend,Bull,,
QQQ,0,Invesco QQQ Trust,290.65,445.45,53.26,41.45,46.37,0.98,1.0,0.96,43958806.67,0.14,17.98,Uptrend,Bear,,
FDN,0,First Trust Dow Jones Internet Index Fund,135.58,202.6,49.43,41.71,45.29,0.99,1.01,0.96,434520.0,0.11,17.82,Uptrend,Bear,,
VGT,0,Vanguard Information Technology Index Fund ETF Shares,352.34,530.16,50.47,40.94,45.45,0.97,1.0,0.94,471160.0,0.12,17.69,Uptrend,Bull,,
PAVE,0,Global X U.S. Infrastructure Development ETF,28.74,38.47,33.88,40.48,42.91,0.97,0.99,0.94,1125586.67,0.43,17.15,Uptrend,Bull,,
HACK,0,Amplify Cybersecurity ETF,45.37,65.23,43.77,38.62,43.39,0.99,1.02,0.94,187173.33,0.07,16.81,Uptrend,Bear,,
AIRR,0,First Trust RBA American Industrial RenaissanceTM ETF,49.39,64.35,30.28,42.17,39.34,0.96,1.0,0.92,76700.0,0.39,16.77,Uptrend,Bull,,
CIBR,0,First Trust NASDAQ Cybersecurity ETF,40.65,57.84,42.3,39.66,41.54,0.99,1.01,0.94,1071320.0,0.06,16.65,Uptrend,Bear,,
AMZA,0,InfraCap MLP ETF,30.31,40.15,32.48,34.58,42.59,0.97,1.0,0.91,44953.33,0.4,15.9,Uptrend,Bull,,
TDIV,0,First Trust NASDAQ Technology Dividend Index Fund,49.38,70.93,43.64,37.38,39.48,0.96,0.99,0.93,78140.0,0.19,15.8,Uptrend,Bull,,
AMJ,0,JPMorgan Alerian MLP Index ETN,21.13,28.0,32.49,33.44,41.37,0.97,1.0,0.93,460826.67,0.4,15.43,Uptrend,Bear,,
