,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
BDRY,0,Breakwave Dry Bulk Shipping ETF,10.26,16.84,2.87,0.1,Overbought - Potential Reversal,Upward,0.35,64.13,92.24,77.45,0.86,0.98,0.74,187673.33,0.41,22.04,Uptrend,Bull,22.588910525776363,2258.8910525776364
SMH,0,VanEck Semiconductor ETF,118.07,224.99,24.33,0.1,Overbought - Potential Reversal,Upward,0.04,90.56,89.27,79.63,0.94,1.04,0.87,9967100.0,0.25,21.78,Uptrend,Bear,22.322435174746335,2232.243517474634
SOXX,0,iShares Semiconductor ETF,131.25,228.13,23.02,0.5,Neutral,Upward,0.04,73.82,74.24,65.06,0.95,1.04,0.9,5470806.67,0.18,18.11,Uptrend,Bear,18.561033104437836,1856.1033104437838
URNM,0,North Shore Global Uranium Mining ETF,29.52,48.49,8.75,0.5,Neutral,Downward,0.11,64.27,70.22,69.64,1.02,1.08,0.97,881420.0,-0.08,17.97,Downtrend,Bear,18.41754637696013,1841.7546376960129
ARKW,0,ARK Next Generation Internet ETF,47.78,82.34,9.45,0.5,Neutral,Upward,0.11,72.33,73.68,61.45,0.95,0.99,0.88,247380.0,0.26,17.67,Uptrend,Bull,18.110074818079326,1811.0074818079327
IGM,0,iShares Expanded Tech Sector ETF,49.67,85.55,8.71,0.5,Neutral,Upward,0.11,72.25,60.91,62.93,0.98,1.02,0.94,270060.0,0.14,15.91,Uptrend,Bear,,
QTEC,0,First Trust NASDAQ-100-Technology Sector Index Fund,118.24,190.72,20.01,0.5,Neutral,Upward,0.05,61.29,60.59,54.69,0.99,1.03,0.95,112806.67,0.07,15.02,Uptrend,Bear,,
XHB,0,SPDR S&P Homebuilders ETF,64.63,104.76,10.82,0.1,Overbought - Potential Reversal,Upward,0.09,62.09,53.83,61.81,0.97,1.01,0.94,2186393.33,0.27,14.7,Uptrend,Bear,,
URA,0,Global X Uranium ETF,18.54,28.06,4.02,0.5,Neutral,Downward,0.25,51.37,54.75,55.73,1.0,1.05,0.96,3671586.67,-0.05,14.27,Uptrend,Bear,,
ITB,0,iShares U.S. Home Construction ETF,66.13,109.77,11.6,0.1,Overbought - Potential Reversal,Upward,0.09,66.0,49.38,63.52,0.97,1.01,0.93,1688446.67,0.25,14.2,Uptrend,Bear,,
