,,longName,L.Year,Today,risk_score,news_overall,avg_news_pos,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
SMH,0,VanEck Semiconductor ETF,121.6,227.97,24.96,mostly neutral,3.16,0.5,Neutral,Upward,0.04,87.47,90.45,77.3,0.94,1.03,0.86,10344233.33,0.28,10.42,Uptrend,Bear,22.790901137357828,2279.090113735783
BDRY,0,Breakwave Dry Bulk Shipping ETF,10.57,16.48,2.95,mostly neutral,0.61,0.1,Overbought - Potential Reversal,Upward,0.34,55.91,86.85,61.73,0.91,1.02,0.76,204120.0,0.41,9.17,Uptrend,Bear,20.05686789151356,2005.6867891513557
URNM,0,North Shore Global Uranium Mining ETF,29.34,48.04,8.74,mostly neutral,2.48,0.5,Neutral,Downward,0.11,63.76,69.32,70.19,1.02,1.06,0.98,851220.0,-0.11,8.87,Downtrend,Bear,19.400699912510934,1940.0699912510931
ARKW,0,ARK Next Generation Internet ETF,49.22,82.53,9.6,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.1,67.68,76.69,64.17,0.95,1.0,0.88,248573.33,0.2,8.77,Uptrend,Bear,19.181977252843392,1918.1977252843392
SOXX,0,iShares Semiconductor ETF,135.08,229.77,23.5,mostly neutral,1.63,0.5,Neutral,Upward,0.04,70.1,74.56,61.02,0.96,1.03,0.89,5367126.67,0.22,8.49,Uptrend,Bear,18.569553805774277,1856.9553805774278
IGM,0,iShares Expanded Tech Sector ETF,50.96,86.82,8.81,mixed,0.0,0.5,Neutral,Upward,0.11,70.38,62.15,61.96,0.97,1.01,0.92,256160.0,0.16,7.94,Uptrend,Bear,,
XHB,0,SPDR S&P Homebuilders ETF,65.53,105.29,10.96,mostly neutral,0.59,0.1,Overbought - Potential Reversal,Upward,0.09,60.67,56.83,62.68,0.98,1.01,0.94,2214793.33,0.26,7.68,Uptrend,Bear,,
ITB,0,iShares U.S. Home Construction ETF,67.19,110.17,11.72,mostly neutral,0.58,0.1,Overbought - Potential Reversal,Upward,0.09,63.97,52.72,63.56,0.97,1.0,0.93,1713493.33,0.23,7.53,Uptrend,Bear,,
URA,0,Global X Uranium ETF,18.36,28.15,4.02,mixed,0.0,0.5,Neutral,Downward,0.25,53.34,55.25,58.46,0.99,1.04,0.96,3657246.67,-0.08,7.38,Uptrend,Bear,,
QTEC,0,First Trust NASDAQ-100-Technology Sector Index Fund,121.19,192.75,20.17,mixed,0.0,0.5,Neutral,Upward,0.05,59.05,60.8,52.75,0.98,1.02,0.94,154580.0,0.1,7.22,Uptrend,Bear,,
SKYY,0,First Trust Cloud Computing ETF,61.39,95.96,9.27,mixed,0.0,0.5,Neutral,Upward,0.11,56.31,53.17,50.88,0.98,1.01,0.93,187500.0,0.06,6.71,Uptrend,Bear,,
FTXL,0,First Trust Nasdaq Semiconductor ETF,61.09,92.08,8.27,mixed,0.0,0.5,Neutral,Upward,0.12,50.72,58.2,46.14,0.96,1.03,0.91,42600.0,0.2,6.65,Uptrend,Bear,,
IYW,0,iShares U.S. Technology ETF,85.0,135.6,12.8,mixed,0.0,0.5,Neutral,Upward,0.08,59.52,51.24,51.29,0.98,1.0,0.95,672706.67,0.09,6.64,Uptrend,Bull,,
IGV,0,iShares Expanded Tech-Software Sector ETF,56.0,87.03,8.66,mixed,0.0,0.5,Neutral,Upward,0.12,55.41,49.79,50.11,0.98,1.0,0.94,3455140.0,0.02,6.49,Uptrend,Bull,,
PRN,0,Invesco Dorsey Wright Industrials Momentum ETF,93.0,133.83,11.3,mixed,0.0,0.5,Neutral,Upward,0.09,43.91,48.06,47.03,0.99,1.01,0.94,8466.67,0.29,6.21,Uptrend,Bear,,
AIQ,0,Global X Artificial Intelligence & Technology ETF,22.34,34.22,2.89,mixed,0.0,0.5,Neutral,Upward,0.35,53.16,48.32,45.49,0.97,0.99,0.94,913160.0,0.17,6.16,Uptrend,Bull,,
XLK,0,Technology Select Sector SPDR Fund,138.46,211.02,18.38,mostly neutral,0.18,0.5,Neutral,Upward,0.05,52.41,45.36,45.89,0.98,1.0,0.94,7378993.33,0.1,5.96,Uptrend,Bull,,
FDN,0,First Trust Dow Jones Internet Index Fund,135.45,203.02,18.25,mixed,0.0,0.5,Neutral,Upward,0.05,49.89,46.02,42.94,0.99,1.01,0.96,418046.67,0.05,5.79,Uptrend,Bear,,
IXN,0,iShares Global Tech ETF,50.03,75.31,6.27,mixed,0.0,0.5,Neutral,Upward,0.16,50.52,44.16,43.8,0.97,1.0,0.94,141086.67,0.13,5.78,Uptrend,Bull,,
FTEC,0,Fidelity MSCI Information Technology Index ETF,104.72,157.45,13.21,mixed,0.0,0.5,Neutral,Upward,0.08,50.36,43.62,44.31,0.98,1.0,0.94,239826.67,0.11,5.77,Uptrend,Bear,,
PAVE,0,Global X U.S. Infrastructure Development ETF,27.83,38.24,2.96,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.34,37.4,43.7,43.01,0.98,1.01,0.94,1297633.33,0.33,5.72,Uptrend,Bear,,
QQQ,0,Invesco QQQ Trust,295.33,443.66,37.33,mostly neutral,0.54,0.5,Neutral,Upward,0.03,50.23,43.02,44.0,0.99,1.0,0.96,45723453.33,0.11,5.71,Uptrend,Bear,,
CIBR,0,First Trust NASDAQ Cybersecurity ETF,40.43,57.83,5.44,mostly neutral,0.42,0.5,Neutral,Upward,0.18,43.04,46.51,40.48,0.98,1.0,0.94,1026733.33,0.03,5.67,Uptrend,Bear,,
VGT,0,Vanguard Information Technology Index Fund ETF Shares,354.82,530.0,43.73,mixed,0.0,0.5,Neutral,Upward,0.02,49.37,42.74,43.53,0.98,1.0,0.94,475333.33,0.1,5.66,Uptrend,Bear,,
AMZA,0,InfraCap MLP ETF,29.44,40.0,2.82,mostly neutral,3.75,0.5,Neutral,Upward,0.35,35.86,36.51,46.18,0.98,1.0,0.96,40760.0,0.26,5.63,Uptrend,Bear,,
HACK,0,Amplify Cybersecurity ETF,45.02,64.9,6.14,mixed,0.0,0.5,Neutral,Upward,0.16,44.15,44.7,41.21,0.99,1.01,0.94,173813.33,0.03,5.62,Uptrend,Bear,,
AIRR,0,First Trust RBA American Industrial RenaissanceTM ETF,47.44,63.71,4.65,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.22,34.3,44.45,38.62,0.98,1.01,0.93,72566.67,0.29,5.42,Uptrend,Bear,,
AMJ,0,JPMorgan Alerian MLP Index ETN,20.63,27.9,2.04,mostly neutral,0.22,0.5,Neutral,Upward,0.49,35.25,34.21,42.47,0.99,1.01,0.97,427620.0,0.26,5.29,Uptrend,Bear,,
TDIV,0,First Trust NASDAQ Technology Dividend Index Fund,49.74,70.37,5.15,mixed,0.0,0.5,Neutral,Upward,0.19,41.46,39.11,38.14,0.97,1.01,0.94,78500.0,0.15,5.15,Uptrend,Bear,,
VOX,0,Vanguard Communication Services Index Fund ETF Shares,88.8,128.8,9.88,mixed,0.0,0.5,Neutral,Upward,0.1,45.05,38.85,38.14,0.99,1.0,0.98,164793.33,0.05,5.1,Uptrend,Bull,,
ARKK,0,ARK Innovation ETF,37.46,50.25,4.99,mixed,0.0,0.5,Neutral,Upward,0.2,34.15,43.86,34.05,0.99,1.03,0.94,11870180.0,0.07,5.1,Uptrend,Bear,,
FCOM,0,Fidelity MSCI Communication Services Index ETF,33.71,48.66,3.69,mixed,0.0,0.5,Neutral,Upward,0.27,44.35,38.25,37.55,0.99,1.0,0.98,89953.33,0.05,5.07,Uptrend,Bull,,
PSP,0,Invesco Global Listed Private Equity ETF,47.32,65.46,5.36,mixed,0.0,0.5,Neutral,Upward,0.19,38.34,35.06,39.89,0.98,1.0,0.97,17433.33,0.16,5.07,Uptrend,Bull,,
IAK,0,iShares U.S. Insurance ETF,84.04,113.78,8.46,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,35.39,34.31,41.2,0.98,0.99,0.96,56906.67,0.31,5.07,Uptrend,Bull,,
RSPT,0,Invesco S&P 500 Equal Weight Technology ETF,25.79,35.56,2.58,mixed,0.0,0.5,Neutral,Upward,0.39,37.86,39.44,34.87,0.97,1.01,0.93,571266.67,0.16,4.98,Uptrend,Bear,,
FINX,0,Global X FinTech ETF,19.91,27.09,2.15,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.47,36.05,35.67,37.15,0.97,1.0,0.92,118113.33,0.17,4.92,Uptrend,Bear,,
ATMP,0,Barclays ETN+ Select MLP ETN,17.54,23.23,1.52,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.66,32.44,31.73,39.1,0.98,1.0,0.95,16713.33,0.27,4.92,Uptrend,Bull,,
AMLP,0,Alerian MLP ETF,35.17,46.67,3.18,mixed,0.0,0.5,Neutral,Upward,0.31,32.69,31.32,39.7,0.99,1.01,0.97,1165660.0,0.24,4.91,Uptrend,Bear,,
IYG,0,iShares U.S. Financial Services ETF,47.41,64.35,4.99,mostly neutral,1.84,0.1,Overbought - Potential Reversal,Upward,0.2,35.74,34.61,38.28,0.99,1.0,0.97,78680.0,0.25,4.89,Uptrend,Bull,,
IYT,0,iShares Transportation Average ETF,52.42,70.08,5.18,mixed,0.0,0.5,Neutral,Upward,0.19,33.7,36.61,35.55,1.0,1.01,0.98,415106.67,0.16,4.85,Uptrend,Bear,,
KCE,0,SPDR S&P Capital Markets ETF,79.15,107.58,8.61,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.12,35.93,36.6,36.11,0.98,1.01,0.96,79933.33,0.19,4.81,Uptrend,Bear,,
IYF,0,iShares U.S. Financials ETF,69.84,92.45,6.6,mixed,0.0,0.1,Overbought - Potential Reversal,Upward,0.15,32.38,31.83,37.39,0.98,1.0,0.96,109040.0,0.27,4.68,Uptrend,Bull,,
