,,longName,L.Year,Today,risk_score,rsi,market,m.trend,inverse_risk_score,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
SMH,0,VanEck Semiconductor ETF,120.24,223.46,25.23,0.5,Neutral,Upward,0.04,85.85,84.89,76.58,0.97,1.05,0.88,10423586.67,0.26,20.87,Uptrend,Bear,22.82870269087727,2282.870269087727
BDRY,0,Breakwave Dry Bulk Shipping ETF,9.69,16.25,3.0,0.5,Neutral,Upward,0.33,67.7,83.62,66.5,0.94,1.04,0.8,204673.33,0.38,19.71,Uptrend,Bear,21.5598337344126,2155.98337344126
ARKW,0,ARK Next Generation Internet ETF,49.5,82.83,9.67,0.1,Overbought - Potential Reversal,Upward,0.1,67.33,73.68,65.89,0.95,1.0,0.88,237606.67,0.23,18.07,Uptrend,Bull,19.76591555458324,1976.5915554583241
SOXX,0,iShares Semiconductor ETF,133.51,224.17,23.69,0.5,Neutral,Upward,0.04,67.91,69.59,59.87,0.99,1.06,0.91,5285786.67,0.21,16.9,Uptrend,Bear,18.486108072631808,1848.6108072631807
URNM,0,North Shore Global Uranium Mining ETF,27.94,46.17,8.72,0.5,Neutral,Downward,0.11,65.26,59.11,65.26,1.05,1.11,1.02,841820.0,-0.18,15.87,Downtrend,Bear,17.359439947495076,1735.9439947495075
XHB,0,SPDR S&P Homebuilders ETF,64.12,106.87,11.04,0.1,Overbought - Potential Reversal,Upward,0.09,66.68,53.95,65.05,0.96,0.99,0.93,2196553.33,0.29,15.04,Uptrend,Bull,,
IGM,0,iShares Expanded Tech Sector ETF,51.02,86.02,8.84,0.5,Neutral,Upward,0.11,68.59,56.61,60.6,0.98,1.01,0.93,243573.33,0.16,15.03,Uptrend,Bear,,
ITB,0,iShares U.S. Home Construction ETF,66.38,110.83,11.78,0.1,Overbought - Potential Reversal,Upward,0.08,66.95,49.45,63.71,0.97,1.0,0.93,1687133.33,0.24,14.22,Uptrend,Bull,,
QTEC,0,First Trust NASDAQ-100-Technology Sector Index Fund,120.93,190.36,20.22,0.5,Neutral,Upward,0.05,57.41,56.2,52.35,1.0,1.03,0.96,149413.33,0.1,14.13,Uptrend,Bear,,
URA,0,Global X Uranium ETF,17.72,27.33,4.01,0.5,Neutral,Downward,0.25,54.26,47.96,55.25,1.02,1.07,0.99,3653240.0,-0.14,13.21,Downtrend,Bear,,
SKYY,0,First Trust Cloud Computing ETF,61.78,95.59,9.28,0.5,Neutral,Upward,0.11,54.73,49.76,51.18,0.99,1.02,0.93,185220.0,0.07,13.05,Uptrend,Bear,,
FTXL,0,First Trust Nasdaq Semiconductor ETF,59.91,89.88,8.33,0.5,Neutral,Upward,0.12,50.03,53.63,44.52,0.99,1.06,0.93,42106.67,0.18,12.99,Uptrend,Bear,,
IYW,0,iShares U.S. Technology ETF,85.38,134.41,12.8,0.5,Neutral,Upward,0.08,57.42,46.1,49.77,0.99,1.01,0.96,670566.67,0.09,12.36,Uptrend,Bear,,
IGV,0,iShares Expanded Tech-Software Sector ETF,55.89,86.4,8.65,0.5,Neutral,Upward,0.12,54.59,46.3,48.5,0.99,1.01,0.95,3209266.67,0.02,12.26,Uptrend,Bear,,
PRN,0,Invesco Dorsey Wright Industrials Momentum ETF,90.12,134.35,11.42,0.5,Neutral,Upward,0.09,49.07,44.4,47.74,0.99,1.01,0.94,9846.67,0.28,11.92,Uptrend,Bear,,
AIQ,0,Global X Artificial Intelligence & Technology ETF,22.29,33.96,2.9,0.5,Neutral,Upward,0.35,52.34,43.78,45.14,0.98,1.01,0.95,927146.67,0.16,11.59,Uptrend,Bear,,
CIBR,0,First Trust NASDAQ Cybersecurity ETF,40.14,57.78,5.46,0.5,Neutral,Upward,0.18,43.95,44.92,40.77,0.99,1.0,0.94,972000.0,0.03,11.29,Uptrend,Bear,,
FDN,0,First Trust Dow Jones Internet Index Fund,137.12,203.29,18.29,0.5,Neutral,Upward,0.05,48.26,41.85,43.11,0.99,1.01,0.96,421560.0,0.08,11.05,Uptrend,Bear,,
XLK,0,Technology Select Sector SPDR Fund,138.54,208.74,18.38,0.5,Neutral,Upward,0.05,50.67,40.8,43.93,0.99,1.01,0.95,7274113.33,0.09,10.98,Uptrend,Bear,,
HACK,0,Amplify Cybersecurity ETF,44.76,64.74,6.16,0.5,Neutral,Upward,0.16,44.63,42.56,41.14,0.99,1.01,0.95,146486.67,0.02,10.97,Uptrend,Bear,,
PAVE,0,Global X U.S. Infrastructure Development ETF,26.72,38.28,2.99,0.1,Overbought - Potential Reversal,Upward,0.33,43.26,40.5,42.68,0.98,1.0,0.95,1310340.0,0.3,10.83,Uptrend,Bear,,
IXN,0,iShares Global Tech ETF,49.78,74.58,6.28,0.5,Neutral,Upward,0.16,49.83,39.99,42.57,0.99,1.01,0.95,135973.33,0.12,10.74,Uptrend,Bear,,
