,,style,symbol,longName,L.Year,Today,risk_score,news_overall,inclination,rsi,market,m.trend,inverse_risk_score,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Composite Score,category
SMH,0,aggressive-growth,SMH,VanEck Semiconductor ETF,125.05,219.46,25.45,mostly neutral,1,0.5,Neutral,Upward,0.04,4.79,17.0,26.61,47.67,75.5,0.88,234.17,164.99,0.79,8642373.33,0.21,10.2,Non S&P aggressive-growth
SOXX,0,aggressive-growth,SOXX,iShares Semiconductor ETF,138.72,220.34,23.83,mostly neutral,-1,0.5,Neutral,Upward,0.04,3.56,12.24,17.12,39.91,58.84,0.92,237.75,179.62,0.7,4118118.33,0.14,7.86,Non S&P aggressive-growth
MTUM,0,aggressive-growth,MTUM,iShares MSCI USA Momentum Factor ETF,133.35,185.04,13.72,mostly neutral,1,0.5,Neutral,Upward,0.07,2.68,9.83,18.72,29.02,38.76,0.92,189.2,152.32,0.89,656698.33,0.25,6.64,Non S&P aggressive-growth
IYW,0,aggressive-growth,IYW,iShares U.S. Technology ETF,88.14,134.52,12.79,mostly neutral,1,0.5,Neutral,Upward,0.08,1.38,5.19,10.25,24.07,52.62,0.95,135.6,117.5,0.94,783773.33,0.15,5.05,Non S&P aggressive-growth
SCHG,0,aggressive-growth,SCHG,Schwab U.S. Large-Cap Growth ETF,62.13,91.9,7.82,mostly neutral,1,0.5,Neutral,Upward,0.13,1.18,6.3,11.17,23.01,47.91,0.95,92.26,80.6,0.97,1489993.33,0.19,5.0,Non S&P aggressive-growth
IWY,0,aggressive-growth,IWY,iShares Russell Top 200 Growth ETF,132.3,193.89,16.21,mostly neutral,1,0.5,Neutral,Upward,0.06,0.93,5.92,10.94,22.25,46.55,0.95,194.47,170.38,0.98,573580.0,0.19,4.86,Non S&P aggressive-growth
VONG,0,aggressive-growth,VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,59.96,85.96,6.91,mostly neutral,1,0.5,Neutral,Upward,0.14,0.91,5.94,10.62,22.34,43.36,0.95,86.27,75.82,0.97,901628.33,0.19,4.85,Non S&P aggressive-growth
VUG,0,aggressive-growth,VUG,Vanguard Growth Index Fund ETF Shares,237.42,342.09,27.72,mostly neutral,1,0.5,Neutral,Upward,0.04,0.96,5.99,10.47,22.46,44.08,0.95,343.59,301.05,0.96,1004895.0,0.18,4.83,Non S&P aggressive-growth
IUSG,0,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,84.44,116.0,7.78,mostly neutral,1,0.5,Neutral,Upward,0.13,1.56,6.87,11.93,21.3,37.38,0.94,116.37,100.95,0.98,522561.67,0.21,4.82,S&P aggressive-growth
IWF,0,aggressive-growth,IWF,iShares Russell 1000 Growth ETF,232.98,333.91,26.76,mostly neutral,1,0.5,Neutral,Upward,0.04,0.9,5.96,10.56,22.27,43.32,0.95,335.15,294.43,0.97,1392061.67,0.19,4.81,Non S&P aggressive-growth
