,,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,15 day,30 day,60 day,90 day,1Y,MA_60,Max60,Min60,fluctuation_60,Volume_60,volatility_60,Composite Score,category
SMH,0,aggressive-growth,SMH,VanEck Semiconductor ETF,0.053,Exchange Traded Fund,125.663,217.84,0.0,0.3,neutral,down,3.199,13.921,25.253,46.151,73.353,0.891,234.17,164.99,0.764,8746406.667,0.2,7.686,NSPAG
SOXX,0,aggressive-growth,SOXX,iShares Semiconductor ETF,0.093,Exchange Traded Fund,139.321,218.76,0.0,0.3,neutral,down,1.897,10.027,15.662,39.166,57.019,0.93,237.75,179.617,0.673,4148650.0,0.139,4.986,NSPAG
MTUM,0,aggressive-growth,MTUM,iShares MSCI USA Momentum Factor ETF,0.052,Exchange Traded Fund,133.47,182.54,0.0,0.3,neutral,down,1.057,5.582,16.437,26.615,36.765,0.933,189.2,152.32,0.819,670173.333,0.219,4.354,NSPAG
SPHQ,0,consistent-growth,SPHQ,Invesco S&P 500 Quality ETF,0.046,Exchange Traded Fund,44.97,59.16,0.641,0.5,neutral,up,1.27,4.578,9.111,17.93,31.554,0.954,59.91,53.17,0.889,1062316.667,0.209,2.852,SPCG
QUAL,0,consistent-growth,QUAL,iShares MSCI USA Quality Factor ETF,0.042,Exchange Traded Fund,118.392,161.48,0.0,0.5,neutral,up,0.838,4.653,9.519,19.65,36.394,0.953,163.56,144.62,0.89,1897066.667,0.204,2.814,NSPCG
IUSG,0,aggressive-growth,IUSG,iShares Core S&P U.S. Growth ETF,0.037,Exchange Traded Fund,84.564,114.72,0.223,0.3,neutral,down,0.646,3.603,10.114,19.452,35.661,0.954,116.37,100.95,0.893,519561.667,0.172,2.744,SPAG
SPYG,0,aggressive-growth,SPYG,SPDR Portfolio S&P 500 Growth ETF,0.036,Exchange Traded Fund,52.724,71.67,0.509,0.3,neutral,down,0.482,3.301,10.041,19.136,35.935,0.955,72.74,63.12,0.889,1999488.333,0.169,2.687,SPAG
IVW,0,aggressive-growth,IVW,iShares S&P 500 Growth ETF,0.036,Exchange Traded Fund,60.918,82.73,0.436,0.3,neutral,down,0.442,3.283,10.032,19.133,35.805,0.955,83.97,72.87,0.888,3711280.0,0.168,2.669,SPAG
VOOG,0,aggressive-growth,VOOG,Vanguard S&P 500 Growth Index Fund ETF Shares,0.036,Exchange Traded Fund,219.431,298.19,0.0,0.3,neutral,down,0.46,3.223,9.981,19.12,35.892,0.956,302.6,262.92,0.889,135211.667,0.166,2.609,SPAG
SCHG,0,aggressive-growth,SCHG,Schwab U.S. Large-Cap Growth ETF,0.025,Exchange Traded Fund,61.943,90.89,0.221,0.3,neutral,down,0.347,2.992,9.407,20.93,46.732,0.958,92.26,80.6,0.883,1490383.333,0.159,2.462,NSPAG
SCHX,0,consistent-growth,SCHX,Schwab U.S. Large-Cap ETF,0.039,Exchange Traded Fund,45.942,60.66,0.612,0.5,neutral,up,1.014,3.533,7.61,18.46,32.036,0.961,61.33,55.41,0.887,1927270.0,0.186,2.349,NSPCG
SPLG,0,consistent-growth,SPLG,SPDR Portfolio S&P 500 ETF,0.039,Exchange Traded Fund,45.751,60.14,0.623,0.5,neutral,up,1.007,3.422,7.662,17.908,31.45,0.961,60.79,54.97,0.888,8211785.0,0.19,2.343,SPCG
OEF,0,consistent-growth,OEF,iShares S&P 100 ETF,0.036,Exchange Traded Fund,177.881,242.18,0.0,0.5,neutral,up,0.763,3.104,8.381,17.771,36.147,0.961,245.1,219.81,0.885,436088.333,0.187,2.34,SPCG
VOO,0,consistent-growth,VOO,Vanguard S&P 500 ETF,0.039,Exchange Traded Fund,357.381,470.01,0.0,0.5,neutral,up,1.044,3.463,7.704,17.926,31.515,0.961,475.03,429.43,0.89,5169943.333,0.19,2.301,SPCG
SPY,0,consistent-growth,SPY,SPDR S&P 500 ETF Trust,0.039,Exchange Traded Fund,388.12,509.83,0.0,0.5,neutral,up,1.054,3.452,7.702,17.856,31.359,0.961,515.179,465.833,0.892,75846778.333,0.191,2.301,SPCG
VONG,0,aggressive-growth,VONG,Vanguard Russell 1000 Growth Index Fund ETF Shares,0.027,Exchange Traded Fund,59.883,84.99,0.311,0.3,neutral,down,0.0,2.794,8.864,20.246,41.927,0.961,86.27,75.82,0.878,900301.667,0.158,2.281,NSPAG
SCHB,0,consistent-growth,SCHB,Schwab U.S. Broad Market ETF,0.041,Exchange Traded Fund,45.467,59.55,0.624,0.5,neutral,up,0.999,3.511,7.124,18.349,30.974,0.963,60.19,54.61,0.885,878043.333,0.175,2.246,NSPCG
VV,0,consistent-growth,VV,Vanguard Large Cap Index Fund,0.039,Exchange Traded Fund,177.6,234.75,0.0,0.5,neutral,up,0.938,3.369,7.562,18.161,32.179,0.962,237.37,214.62,0.885,279311.667,0.185,2.242,NSPCG
